┌──(soros🏹WorkStation)-[~/homeworks/IDD - homework1]
└─$  /usr/bin/env /usr/lib/jvm/java-11-openjdk-amd64/bin/java -agentlib:jdwp=transport=dt_socket,server=n,suspend=y,address=localhost:39505 -Dfile.encoding=UTF-8 @/tmp/cp_6oob5xvcspsj6vhkveyycfbci.argfile utility.Stats 

===== Distribuzione valori distinti =====
25 colonne hanno 221 valori distinti.
26 colonne hanno 222 valori distinti.
34 colonne hanno 223 valori distinti.
27 colonne hanno 224 valori distinti.
37 colonne hanno 225 valori distinti.
36 colonne hanno 226 valori distinti.
21 colonne hanno 227 valori distinti.
20 colonne hanno 228 valori distinti.
1 colonne hanno 2276 valori distinti.
31 colonne hanno 229 valori distinti.
23 colonne hanno 230 valori distinti.
28 colonne hanno 231 valori distinti.
29 colonne hanno 232 valori distinti.
32 colonne hanno 233 valori distinti.
26 colonne hanno 234 valori distinti.
42 colonne hanno 235 valori distinti.
30 colonne hanno 236 valori distinti.
25 colonne hanno 237 valori distinti.
23 colonne hanno 238 valori distinti.
13 colonne hanno 239 valori distinti.
18 colonne hanno 240 valori distinti.
18 colonne hanno 241 valori distinti.
27 colonne hanno 242 valori distinti.
28 colonne hanno 243 valori distinti.
19 colonne hanno 244 valori distinti.
12 colonne hanno 245 valori distinti.
16 colonne hanno 246 valori distinti.
15 colonne hanno 247 valori distinti.
22 colonne hanno 248 valori distinti.
27 colonne hanno 249 valori distinti.
23 colonne hanno 250 valori distinti.
21 colonne hanno 251 valori distinti.
18 colonne hanno 252 valori distinti.
15 colonne hanno 253 valori distinti.
13 colonne hanno 254 valori distinti.
13 colonne hanno 255 valori distinti.
2 colonne hanno 2303 valori distinti.
53 colonne hanno 256 valori distinti.
12 colonne hanno 257 valori distinti.
20 colonne hanno 258 valori distinti.
30 colonne hanno 259 valori distinti.
36 colonne hanno 260 valori distinti.
24 colonne hanno 261 valori distinti.
17 colonne hanno 262 valori distinti.
18 colonne hanno 263 valori distinti.
24 colonne hanno 264 valori distinti.
12 colonne hanno 265 valori distinti.
15 colonne hanno 266 valori distinti.
13 colonne hanno 267 valori distinti.
13 colonne hanno 268 valori distinti.
19 colonne hanno 269 valori distinti.
15 colonne hanno 270 valori distinti.
10 colonne hanno 271 valori distinti.
9 colonne hanno 272 valori distinti.
12 colonne hanno 273 valori distinti.
15 colonne hanno 274 valori distinti.
12 colonne hanno 275 valori distinti.
6 colonne hanno 276 valori distinti.
10 colonne hanno 277 valori distinti.
6 colonne hanno 278 valori distinti.
16 colonne hanno 279 valori distinti.
5 colonne hanno 280 valori distinti.
9 colonne hanno 281 valori distinti.
13 colonne hanno 282 valori distinti.
14 colonne hanno 283 valori distinti.
12 colonne hanno 284 valori distinti.
10 colonne hanno 285 valori distinti.
13 colonne hanno 286 valori distinti.
14 colonne hanno 287 valori distinti.
17 colonne hanno 288 valori distinti.
13 colonne hanno 289 valori distinti.
11 colonne hanno 290 valori distinti.
8 colonne hanno 291 valori distinti.
16 colonne hanno 292 valori distinti.
9 colonne hanno 293 valori distinti.
8 colonne hanno 294 valori distinti.
14 colonne hanno 295 valori distinti.
16 colonne hanno 296 valori distinti.
12 colonne hanno 297 valori distinti.
